Image_names,Text_nums
1127792001_9b9b950f20_o.jpg,1;2;3;4;5;6
1157182238_992e41a670_o.jpg,7;8;9
12736230865_e67caaeef2_o.jpg,10;11;12;13
12813542575_be0895da1d_o.jpg,14;15;16;17
15661499111_c354774733_o.jpg,18;19;20;21
17390671249_3530cb9735_o.jpg,22;23;24;25
22081621765_1e0fcf2f1f_o.jpg,26;27;28;29;30;31
22117275183_653a78470e_o.jpg,32;33;34;35
22264144982_5c81da8b95_o.jpg,36;37;38;39
2264355654_33ba532cfd_k.jpg,40;41
23865553807_36d3db29fd_b.jpg,42;43
24601906751_4b6addb016_k.jpg,44;45;46;47;48;49
25642857275_a0c6fa25f9_o.jpg,50;51;52
2568563453_d2b5cfd55a_o.jpg,53;54;55;56;57
2707204763_948cd1b6ec_k.jpg,58;59;60;61;62;63;40;41
28696023_0c6aae4634_o.jpg,64;65;66;67;68;61;40;41
2877739588_d238fa59aa_o.jpg,69
2883843880_32116ac03a_b.jpg,70;71;72;73
31839593904_b9f1dd9d83_k.jpg,74;75;76;77;78;79
34202170466_2046fd4860_k.jpg,80;77;74;81
3440044932_0f1c3efa30_k.jpg,82;83
3452465141_8d229fb28c_o.jpg,84
34633336705_3a8c1f6f4d_o.jpg,85;86;87;88
3580505831_d2f3ef98ff_o.jpg,89;90;91;92
36645983151_d0e3a4f0ef_o.jpg,93;94;95;96
3802004400_a9ed0be3b0_o.jpg,97;98;99
39775156885_498a513f4e_o.jpg,100;101;102;103;104;105
4014206218_e7c8e3d2e4_o.jpg,106;107
4546463107_7ece9989ab_o.jpg,108;109;110;111;112;113
4845657289_8ed4ae29cf_o.jpg,114;83
524895468_aca702635f_c.jpg,115;116;117
54216441_32331fcb80_c.jpg,118;65;115;119
5638533119_2e510127bf_c.jpg,120;121;122;123;124;125;126;127
5785951407_04ed8b74d4_o.jpg,128;129
5912116145_cd51db698e_o.jpg,130;131;132
60285493_978c49f335_o.jpg,133;134;135;136
6152044603_30f05d9c8f_b.jpg,137;138;139;140
6288258569_24da3d4ba7_b.jpg,141;142;143;144
6303931074_36353bb788_o.jpg,145;146;147;148
64985745_f54a0603d3_k.jpg,115;149;150;117;151;60;63;158;159;160
6686257173_ae25a46886_o.jpg,131;166
66910013_3cf3aef994_b.jpg,167;168;117;115;169;170;171;172;154;173
6989054701_e7527bac9d_o.jpg,174;175;176;177;178;179;180;181;182
7825530562_f046aebae2_o.jpg,183;184;185;186
8095614163_17a5d05728_b.jpg,187;188;189;190;191
baby-sheep_N0RGK7MVWA.jpg,192;193;194;195
Bear_Alaska_(3).jpg,196;197
Brown_bears_(Ursus_arctos)_and_Chum_(Salmon_Oncorhynchus).jpg,196;198
Butterfly.jpg,199;200
katelyn-greer-7beg3V3aHv0-unsplash.jpg,201;202;203;204
neil-gardose-udmAdWLaN1g-unsplash.jpg,205;206
penguins.png,207;208
Rabbit.jpg,209;210;211;212
Tiger.jpg,213;214;215;216
Volleyball.jpg,217;218
yousef-hussain-BuCWag6nPzM-unsplash.jpg,219;220;221;222
