mode,resize_rings,crop_rings,final_size,recall@10
base,0,0,224,0.8931051587301587
resize,3,0,128,0.8925595238095239
crop,0,1,192,0.8918154761904763
resize,1,0,192,0.8888392857142858
chain,1,2,128,0.8871527777777778
chain,1,1,160,0.8843750000000001
resize,2,0,160,0.8834325396825397
crop,0,2,160,0.8804563492063492
chain,2,1,128,0.8725694444444445
crop,0,3,128,0.8575396825396826
chain,3,1,96,0.6316468253968254
chain,2,2,96,0.5776785714285714
chain,1,3,96,0.5683531746031746
chain,3,2,64,0.23194444444444443
chain,2,3,64,0.18655753968253969
chain,3,3,32,0.07837301587301589
